Bucket,Section,Item,Description,Status,Points Low,Points High,Hours Low,Hours High,Cost Low,Cost High
Feature work,CRUD endpoints,AppRelease + FcmToken endpoints,CRUD endpoints for AppRelease and FcmToken.,Required,0.5,0.5,2,2,300,300
Feature work,CRUD endpoints,SDK generation + client-side typed API surface,Gradle SDK-generation task wiring plus a smoke test; Lightning Server handles the codegen itself.,Required,0.5,0.5,2,2,300,300
Feature work,Frontend foundation,App shell + navigator + routing wiring,KiteUI app shell with navigator and routing configuration on top of framework primitives.,Required,0.5,0.5,2,2,300,300
Feature work,Frontend foundation,HeroScript theme,"HeroScript-branded theme replacing Theme.flat2: brand colors, typography, button variants, semantic tokens, card styling, spacing scale, dark-mode pass.",Required,3,3,12,12,1800,1800
Feature work,Frontend foundation,Login screen + email-PIN MFA challenge,Login screen plus email-PIN MFA challenge built on KiteUI's `AuthComponent` with project-specific copy and branding.,Required,0.5,0.5,2,2,300,300
Feature work,Frontend foundation,Invite activation page,Invite-activation page where a new user sets their password and enrolls MFA.,Required,1,1,4,4,600,600
Feature work,Frontend foundation,Mobile-first nav (hamburger + left nav),"Mobile-first navigation: hamburger drawer on phones, persistent left nav on desktop, role-gated items.",Required,2,2,8,8,1200,1200
Feature work,Frontend foundation,Active-clinic switcher chip,Active-clinic switcher chip for prescribers who work across multiple clinics.,Required,1,1,4,4,600,600
Feature work,Frontend foundation,"Reusable components (PatientPicker, ProductPicker, PharmacyPicker, AddressEditor)","Reusable pickers (Patient, Product, Pharmacy) and the AddressEditor used across order, patient, and clinic flows.",Required,3,3,12,12,1800,1800
Feature work,Frontend foundation,Force-update interstitial via AppRelease,Force-update interstitial driven by the AppRelease model when the client falls below the minimum supported version.,Required,1,1,4,4,600,600
Feature work,Frontend clinic screens,Clinic Dashboard (role-segmented),"Role-segmented dashboard with pending-submission, refill summary, recent activity, and quick-action widgets.",Required,3,3,12,12,1800,1800
Feature work,Frontend clinic screens,Patients list,Clinic-scoped patient list view.,Required,1,1,4,4,600,600
Feature work,Frontend clinic screens,Patient Detail + new-patient flow,Patient Detail with new-patient flow; VerifiedAddress editor with inline suggestions and the clinical-entries section.,Required,3,3,12,12,1800,1800
Feature work,Frontend clinic screens,Catalog browse,Read-only catalog browse with list view and product detail showing forms and pharmacy mappings.,Required,2,2,8,8,1200,1200
Feature work,Frontend clinic screens,Profile + DEA management subsection,"User profile screen with DEA-management subsection covering DEA number, license image, expirations, and ID.me linkage status.",Required,2,2,8,8,1200,1200
Feature work,Frontend clinic screens,Orders list,Clinic-scoped orders list.,Required,2,2,8,8,1200,1200
Feature work,Frontend clinic screens,Order Detail with multi-shipment timeline,"Order Detail with status timeline (Submitted to Shipped), sibling-order subpanel, shipment subpanel, and Ops-only audit footer.",Required,4,4,16,16,2400,2400
Feature work,Frontend clinic screens,Order Entry (multi-Rx basket from day one),"Multi-Rx basket Order Entry: patient + shipping panel, eligible-pharmacy comparison, catalog area, basket summary, new-Rx vs refill modes, sig picker, ID.me step-up.",Required,10,10,40,40,6000,6000
Feature work,Frontend clinic screens,Prescriber Review Queue,"Dedicated screen showing orders awaiting the current prescriber's signoff, with one-tap drill into the Order Detail ID.me + approve flow.",Required,2,2,8,8,1200,1200
Feature work,Frontend clinic screens,Refill Queue + one-click reorder routing,Refill Queue listing refills coming due with one-click routing back into Order Entry.,Required,3,3,12,12,1800,1800
Feature work,Frontend clinic screens,Clinic Settings (ClinicAdmin-scoped),"ClinicAdmin-scoped settings: clinic addresses, default shipping, members, and role management.",Required,2,2,8,8,1200,1200
Feature work,Frontend Ops screens,Catalog Ops edit mode,Ops-only Catalog edit mode with full Product CRUD plus forms and pharmacy-mapping editors.,Required,3,3,12,12,1800,1800
Feature work,Frontend Ops screens,Pharmacies list + detail (state-licensing matrix),Pharmacies list and detail screen with the state-licensing matrix editor.,Required,3,3,12,12,1800,1800
Feature work,Frontend Ops screens,Clinics admin list + detail + add-clinic flow,Ops-only Clinics admin list and detail plus the add-clinic onboarding flow.,Required,2,2,8,8,1200,1200
Feature work,Frontend Ops screens,Users admin list + detail,Ops-only Users admin list and detail screen for cross-clinic user management.,Required,2,2,8,8,1200,1200
Feature work,Frontend Ops screens,DEA Verification Queue,Ops queue showing `PrescriberLicensing` records pending DEA verification.,Required,2,2,8,8,1200,1200
Feature work,Frontend Ops screens,Network Order Monitor,Network-wide order monitor with KPI tiles plus filterable table and re-route / contact / cancel actions.,Required,3,3,12,12,1800,1800
Feature work,Frontend Ops screens,Invoices (dual-context: clinic + Ops),Invoice screens in both clinic and Ops contexts with dual-context read masks.,Required,3,3,12,12,1800,1800
Feature work,Pharmacy integrations,PharmacyDispatcher abstraction,"Common `PharmacyDispatcher` interface (`placeOrder`, `fetchStatus`, `cancelOrder`) with retry/backoff, idempotency keys, DLQ, and audit hooks.",Required,3,3,12,12,1800,1800
Feature work,Pharmacy integrations,LifeFile adapter build + sandbox-tested,LifeFile adapter built fresh against the documented API and tested against sandbox; resolves the ~10 outstanding `ASK:` spec ambiguities with LF support.,Required,5,5,20,20,3000,3000
Feature work,Pharmacy integrations,LifeFile webhook/poll ingestion,"LifeFile status-read ingestion via webhook or polling (TBD pending LF support); HMAC verification on inbound, audit-logged.",Required,3,6,12,24,1800,3600
Feature work,Pharmacy integrations,Per-pharmacy LifeFile customizations (~4 pharmacies),"Per-pharmacy customizations across ~4 LifeFile pharmacies; high uncertainty until LifeFile spec answers and per-pharmacy calls land.",Required,4,8,16,32,2400,4800
Feature work,Pharmacy integrations,Empower adapter,Empower adapter spec-collection + build + sandbox testing; assumed materially different from LifeFile.,Required,4,6,16,24,2400,3600
Feature work,Pharmacy integrations,Proprietary pharmacy adapter #1,Cold-build of the first proprietary pharmacy adapter assuming a reasonable JSON-over-HTTPS API.,Required,4,6,16,24,2400,3600
Feature work,Pharmacy integrations,Proprietary pharmacy adapter #2,Cold-build buffer for the second proprietary pharmacy adapter needed to hit PRD § 12's six-pharmacy launch criterion.,Required,4,6,16,24,2400,3600
Feature work,Pharmacy integrations,Pharmacy webhook ingestion hardening,"Webhook ingestion hardening: replay protection, idempotent state transitions, malformed-payload handling, and stuck-order alerts feeding the Order Monitor.",Required,3,3,12,12,1800,1800
Feature work,Other integrations,Notification model + endpoints + dispatch infrastructure,"Channel-agnostic `Notification` entity, dispatch handler with retry/DLQ, delivery-receipt webhook, Ops list view, and opt-out state machine.",Required,2,2,8,8,1200,1200
Feature work,Other integrations,Twilio SMS dispatch on shipment events,"Twilio HIPAA-tier SMS dispatch on shipment events with STOP/HELP handling, delivery-receipt webhook, and PHI-free first-name + tracking-link template.",Required,3,3,12,12,1800,1800
Feature work,Other integrations,Smarty / Lob address verification,Smarty or Lob address verification with inline suggestions in the AddressEditor; patient name stripped from the outbound payload for BAA-by-design.,Required,3,3,12,12,1800,1800
Feature work,Other integrations,Stripe — ACH + card,"Single Stripe integration covering both ACH and card rails: tokenized capture, daily settlement, charge-descriptor scrubbing, and invoice mark-paid flow.",Required,6,6,24,24,3600,3600
Feature work,Other integrations,FCM push for clinic users on order-state changes,FCM push notifications to clinic users on order-state changes; per-platform wiring on Android/iOS/web.,Required,2,2,8,8,1200,1200
Feature work,Production hardening,Production settings.json + deploy pipeline,"Production AWS account, infrastructure-as-code, build promotion, and environment isolation.",Required,3,3,12,12,1800,1800
Feature work,Production hardening,Monitoring + alerting,"CloudWatch dashboards plus alarms on stuck orders and pharmacy-adapter error rates per PRD § 04 guardrails.",Required,2,2,8,8,1200,1200
Feature work,Production hardening,Session+role-cache race fix,Top-level ready-gate so dashboards do not flash empty during session/role-cache hydration (lesson from the spike).,Required,1,1,4,4,600,600
Feature work,Production hardening,Test suite — server + integration,"Server + integration tests covering CRUD happy paths, permission boundaries, adapter dispatch, and webhook ingestion.",Required,5,5,20,20,3000,3000
Feature work,Production hardening,Test suite — frontend smoke + screen-level,Per-screen frontend smoke tests via the browser-test harness with key user flows scripted.,Required,3,3,12,12,1800,1800
Feature work,Closing buffer,Soak testing with pharmacy sandboxes,Two-week sustained ordering against LifeFile sandbox + Empower sandbox before pilot go-live to satisfy PRD § 12 acceptance criteria.,Required,4,4,16,16,2400,2400
Feature work,Closing buffer,End-to-end integration test harness,"Composed end-to-end harness spinning up server + LF mock + Twilio test number + Smarty sandbox + ID.me sandbox + Stripe test mode; CI green = launch-eligible.",Required,3,3,12,12,1800,1800
Feature work,Closing buffer,Demo + onboarding rehearsal with first 2 pilot clinics,Dry-run demo and onboarding rehearsal with the first two pilot clinics; iterates on what surfaces during real-clinic walkthroughs.,Required,2,2,8,8,1200,1200
Feature work,Closing buffer,Unknown-unknown buffer — feature work share,Roughly 10% of feature-work code-line totals to absorb late-emerging items on a project of this risk profile.,Required,12,12,48,48,7200,7200
Compliance,Audit logging,Audit log mechanism — core build,"Six-year-retention audit log mechanism: `AuditEvent` model, append-only writes, per-request middleware, schema enumerated up front.",Required,6,6,24,24,3600,3600
Compliance,Audit logging,Audit log instrumentation sweep,~35-point instrumentation sweep covering every PHI read and state-changing write plus auth events and pharmacy + notification dispatches.,Required,4,4,16,16,2400,2400
Compliance,Audit logging,Audit log Ops UI,"Ops UI to filter audit events by actor/role/clinic/action/target/date-range, with CSV export and the § 164.528 accounting-of-disclosures query.",Required,3,3,12,12,1800,1800
Compliance,Audit logging,Audit log strategy — option (c) hybrid (DB + CloudWatch mirror),DB-backed primary + CloudWatch Object Lock mirror; the OCR-defensible default.,Required,2,2,8,8,1200,1200
Compliance,DEA controlled-substance,DEA controlled-substance Rx PDF generation,"DEA-compliant prescription PDF, signed by the prescriber, stored with the order, and transmitted with the adapter payload (Schedule III testosterone is the V1 driver).",Required,4,4,16,16,2400,2400
Compliance,Patient rights,Patient HIPAA consent / Notice of Privacy Practices acknowledgement,"SMS/email consent recording with paired `*RevokedAt` fields (distinguishes never-consented from revoked) plus clinic-affirmation UI at order entry.",Required,2,2,8,8,1200,1200
Compliance,Patient rights,Patient data export tool (HIPAA right-to-access § 164.524),"Ops command implementing HIPAA right-to-access § 164.524: dumps a Patient's full PHI bundle to JSON + PDF, audit-logged.",Required,2,2,8,8,1200,1200
Compliance,"Session, MFA, access controls",Session idle timeout + auto-logoff,Server-side session expiration + activity stamping with a client T-60s warning modal before auto-logoff.,Required,2,2,8,8,1200,1200
Compliance,"Session, MFA, access controls",Force MFA enrollment at first login,Forces MFA enrollment at first login by blocking PHI endpoints until `requiredProofStrengthFor >= 20`.,Required,1,1,4,4,600,600
Compliance,"Session, MFA, access controls",Default Ops/Developer view anonymization,"Default read-masks across Patient/Prescription/PrescriptionOrder/Shipment/ClinicianReview for Admin and Developer roles; non-PHI Ops work stays fully accessible.",Required,2,2,8,8,1200,1200
Compliance,"Session, MFA, access controls",Emergency-access break-glass endpoint,"Dedicated break-glass endpoint to temporarily unmask PHI for a specific patient/order window; mandatory reason field, short TTL, notifications to clinic admin + Security Officer.",Required,2,2,8,8,1200,1200
Compliance,"Session, MFA, access controls",Emergency-access break-glass UI,"Break-glass request modal with reason and target, persistent active-elevated-context indicator, and explicit Resolved CTA to end the window.",Required,1,1,4,4,600,600
Compliance,"Session, MFA, access controls",Non-production PHI scrubbing,Migration/refresh tooling that sanitizes PHI when copying prod to non-prod plus a synthetic-data seeder for fresh dev environments.,Required,1,1,4,4,600,600
Compliance,Data lifecycle,Soft-delete semantics across PHI-bearing models,"Baked-in `deactivatedAt` soft-delete semantics across PHI-bearing models with list-endpoint filtering; driven by TN 10-year + HIPAA 6-year retention.",Required,2,2,8,8,1200,1200
Compliance,Data lifecycle,Outbound payload signing + integrity hashes,SHA-256 hash of every pharmacy dispatch stored on Fulfillment for non-repudiation.,Required,1,1,4,4,600,600
Compliance,"Secrets, encryption, transport",AWS Secrets Manager wiring,"Secrets Manager resolver for `Pharmacy.credentialsSecretRef` and the rest (Twilio, SendGrid, processor key, ID.me client secret, FCM service account).",Required,2,2,8,8,1200,1200
Compliance,"Secrets, encryption, transport",Clinical-field encryption at application layer (envelope),"Envelope encryption for allergies/diseases/otherMedications with a separate KMS key, limiting blast radius of a snapshot leak.",Required,2,2,8,8,1200,1200
Compliance,"Secrets, encryption, transport",Encryption-at-rest verification across data stores,"Verified encryption-at-rest across MongoDB Atlas, S3 SSE-KMS, DynamoDB, and CloudWatch Logs with a documented KMS key inventory.",Required,1,1,4,4,600,600
Compliance,"Secrets, encryption, transport",TLS 1.2+ enforcement + HSTS + security headers,"TLS 1.2+ enforcement at ALB/API Gateway plus HSTS preload, X-Content-Type-Options, X-Frame-Options, and Referrer-Policy headers.",Required,1,1,4,4,600,600
Compliance,"Secrets, encryption, transport",Production boot assertion,"Refuses to boot if `general.debug = false` and any of cache/database/email is `ram`/`console`; no AppStoreTester-style hardcoded credentials path in production.",Required,1,1,4,4,600,600
Compliance,PHI hygiene + logging,PHI-in-URLs/logs guard,"Structured-logging redaction helper, CI grep against PHI field names in path patterns, and a no-PHI rule for error messages and non-HIPAA telemetry.",Required,2,2,8,8,1200,1200
Compliance,Supply chain + vulnerability scanning,Dependency auditing automation,"Dependabot (or equivalent) at the repo level with weekly review process and license-compatibility scan; advisories triaged within 7 days, critical within 24h.",Required,1,1,4,4,600,600
Compliance,Supply chain + vulnerability scanning,Automated vulnerability scanning (SAST + secrets + SBOM),"SAST in CI, git-layer secrets scanning, container/dependency CVE scan at build, and per-release SBOM generation.",Required,1.5,1.5,6,6,900,900
Compliance,Architectural tensions,Denormalization vs § 164.526 amendment rights — policy doc,"Policy doc declaring historical snapshots on submitted PrescriptionOrders immutable with amendments applied forward only; lives in the Ops runbook and BAA addendum.",Required,1,1,4,4,600,600
Compliance,Compliance buffer,Unknown-unknown buffer — compliance share,"Roughly 10% of compliance-line totals; HIPAA work tends to surface ""and one more thing"" items late.",Required,6,6,24,24,3600,3600
Nice-to-have,Other integrations,Notification email (SendGrid HIPAA tier),"SendGrid HIPAA-tier email notifications sharing the SMS template renderer; PRD § F7 includes it if not significantly more scope.",Nice-to-have,1,1,4,4,600,600
Nice-to-have,Optional feature screens,Network Order Monitor advanced filtering polish,Advanced filtering polish on Network Order Monitor; functional at baseline and worth polishing for the V1.1 pharmacy batch.,Nice-to-have,2,2,8,8,1200,1200
Nice-to-have,Optional feature screens,AppRelease management UI,AppRelease management UI; direct-DB admin is workable for V1 at 10 clinics.,Nice-to-have,2,2,8,8,1200,1200
Nice-to-have,Optional feature screens,Ops CRUD polish on Pharmacies / Clinics / Users,"Onboarding-at-scale niceties on the Ops admin screens: CSV import, bulk invite, and similar polish.",Nice-to-have,3,3,12,12,1800,1800
Deferred,Optional feature screens,DEA Queue advanced filtering,DEA Queue advanced filtering; only needed if Schedule II ships at V1 (testosterone is Schedule III so the basic queue suffices).,Deferred,0,0,0,0,0,0
Mobile native add-on,Mobile native deployment,Mobile deploy infrastructure (Play Console + Fastlane TestFlight),"Android Play Console + signing keystore, Fastlane match for iOS certs and provisioning, and TestFlight/Play Internal Track wiring.",Add-on,1.5,1.5,6,6,900,900
Mobile native add-on,Mobile native deployment,Mobile native polish (device testing + native FCM + native pickers + store binaries),"Android + iOS real-device testing, native FCM verification, native pickers, address-keyboard polish, store binaries, screenshots, and listing copy.",Add-on,5,5,20,20,3000,3000
Alternative (not in totals),Pharmacy integrations,Adapter SDK + pharmacy onboarding self-serve,"Alternative: config-driven adapter SDK so new pharmacies are mostly YAML, not code; pays off at pharmacy #4+ when the post-V1 pipeline is real.",Alternative (+),5,5,20,20,3000,3000
Alternative (not in totals),Pharmacy integrations,Launch with 3 pharmacies instead of 6 (savings),Alternative: launch with 3 pharmacies instead of 6 — defers Empower + proprietary adapters to V1.1; violates PRD § 12 acceptance criteria.,Alternative (-),-18,-12,-72,-48,-10800,-7200
Alternative (not in totals),Pharmacy integrations,Launch with 1 pharmacy (LifeFile only) (savings),"Alternative: launch with LifeFile only — validates the platform at one integration depth but cannot satisfy PRD § 12, viable only if V1 is redefined as ""soft pilot, single-pharmacy.""",Alternative (-),-35,-25,-140,-100,-21000,-15000
Alternative (not in totals),Frontend Ops screens,Scripted onboarding only (no Ops admin UI) (savings),"Alternative: skip the Ops admin UI and run clinics/users/pharmacies/catalog via direct-DB scripts; workable at pilot scale but engineer-supported per clinic, not recommended.",Alternative (-),-15,-15,-60,-60,-9000,-9000
Alternative (not in totals),Other integrations,Stripe ACH-only + card-by-invoice-link (savings vs full ACH+card),Alternative: Stripe ACH-only with card-by-invoice-link in V1; adds card-on-file in V1.1.,Alternative (-),-3,-3,-12,-12,-1800,-1800
Alternative (not in totals),Order model + workflow,Separated Procurement instead of Combined Basket (added cost),"Alternative: Separated Procurement workflow (`Prescription + PrescriptionOrder + PharmacyOrder`) with a Procurement Queue screen; recommended if clinic-bulk-shipping aggregation is common.",Alternative (+),11,11,44,44,6600,6600
Alternative (not in totals),Order model + workflow,Flat Order (no durable Prescription) (savings),"Alternative: Flat `Order + OrderItem` per PRD § 09; saves cost up front but loses durable Rx, clean refill tracking, and per-Rx amendment — not recommended.",Alternative (-),-8,-8,-32,-32,-4800,-4800
